2025-12-04T08:43:14.455100300 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:44:54.626691700 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:46:33.105819500 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:48:22.715832600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:50:01.707794700 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:51:40.572817900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:53:20.557617200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:55:02.083547500 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:56:52.954262900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:58:33.142806500 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:00:13.330428300 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:01:55.667789 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 0 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:03:35.664360300 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:05:26.393321300 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:07:06.161586900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:08:45.839248600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:10:27.177863400 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:12:06.474131600 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:13:56.384859100 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
